model,regime,status,seed,primary_seed,val_predictions,test_predictions,val_metrics,efficiency,checkpoint_dir,error
identity,real_only,success,42,42,/home/hpc/users/martina.najdovska/ocr-vezilka/phase4/phase4_output/kfold/fold3/predictions/val/identity/real_only__seed42.jsonl,/home/hpc/users/martina.najdovska/ocr-vezilka/phase4/phase4_output/kfold/fold3/predictions/test_blind/identity/real_only__seed42.jsonl,/home/hpc/users/martina.najdovska/ocr-vezilka/phase4/phase4_output/kfold/fold3/val_metrics/identity/real_only__seed42.json,,,
classical,real_only,failed,42,,,,,,,"Leak barrier violated in train_rows: rows from disallowed splits ('val', 'test') present (docs=['Samecot', 'Провиденија', 'Сите лица на смртта', 'Современост 7'])."
neural,real_only,failed,42,,,,,,,"Leak barrier violated in train_rows: rows from disallowed splits ('val', 'test') present (docs=['Samecot', 'Провиденија', 'Сите лица на смртта', 'Современост 7'])."
hybrid,real_only,failed,42,,,,,,,"Leak barrier violated in train_rows: rows from disallowed splits ('val', 'test') present (docs=['Samecot', 'Провиденија', 'Сите лица на смртта', 'Современост 7'])."
identity,synthetic_only,success,42,42,/home/hpc/users/martina.najdovska/ocr-vezilka/phase4/phase4_output/kfold/fold3/predictions/val/identity/synthetic_only__seed42.jsonl,/home/hpc/users/martina.najdovska/ocr-vezilka/phase4/phase4_output/kfold/fold3/predictions/test_blind/identity/synthetic_only__seed42.jsonl,/home/hpc/users/martina.najdovska/ocr-vezilka/phase4/phase4_output/kfold/fold3/val_metrics/identity/synthetic_only__seed42.json,,,
classical,synthetic_only,failed,42,,,,,,,"Leak barrier violated in train_rows: rows from disallowed splits ('val', 'test') present (docs=['Samecot', 'Провиденија', 'Сите лица на смртта', 'Современост 7'])."
neural,synthetic_only,failed,42,,,,,,,"Leak barrier violated in train_rows: rows from disallowed splits ('val', 'test') present (docs=['Samecot', 'Провиденија', 'Сите лица на смртта', 'Современост 7'])."
hybrid,synthetic_only,failed,42,,,,,,,"Leak barrier violated in train_rows: rows from disallowed splits ('val', 'test') present (docs=['Samecot', 'Провиденија', 'Сите лица на смртта', 'Современост 7'])."
identity,synthetic_plus_real,success,42,42,/home/hpc/users/martina.najdovska/ocr-vezilka/phase4/phase4_output/kfold/fold3/predictions/val/identity/synthetic_plus_real__seed42.jsonl,/home/hpc/users/martina.najdovska/ocr-vezilka/phase4/phase4_output/kfold/fold3/predictions/test_blind/identity/synthetic_plus_real__seed42.jsonl,/home/hpc/users/martina.najdovska/ocr-vezilka/phase4/phase4_output/kfold/fold3/val_metrics/identity/synthetic_plus_real__seed42.json,,,
classical,synthetic_plus_real,failed,42,,,,,,,"Leak barrier violated in train_rows: rows from disallowed splits ('val', 'test') present (docs=['Samecot', 'Провиденија', 'Сите лица на смртта', 'Современост 7'])."
neural,synthetic_plus_real,failed,42,,,,,,,"Leak barrier violated in train_rows: rows from disallowed splits ('val', 'test') present (docs=['Samecot', 'Провиденија', 'Сите лица на смртта', 'Современост 7'])."
hybrid,synthetic_plus_real,failed,42,,,,,,,"Leak barrier violated in train_rows: rows from disallowed splits ('val', 'test') present (docs=['Samecot', 'Провиденија', 'Сите лица на смртта', 'Современост 7'])."
